"","Df","SumOfSqs","R2","F","Pr(>F)"
"`Beef/Pork`",1,0.0475207601984646,0.00128641033602814,2.22546295276317,0.101
"`Ham/sausages/hotdog`",1,0.0276592888578504,0.000748750544505735,1.29532276831948,0.241
"Fish",1,0.00497367572730756,0.000134639846604715,0.232924116195809,0.83
"`Diet diversity score`",1,0.034232206975279,0.000926682668672384,1.60314161845554,0.178
"`Living with partner`",1,0.0457389576571057,0.00123817606544004,2.1420186743389,0.105
"`Number of partners`",1,0.038374815789652,0.00103882512545705,1.79714572120294,0.122
"`Grades 1-3`",1,0.00754249890368364,0.000204179152619976,0.353225659928459,0.735
"`Grades 4-6`",1,0.021921521461274,0.000593426360846745,1.02661518200722,0.343
"`Grades >6`",1,0.0684001737600548,0.00185162632381244,3.20327477990311,0.05
"`Friend ties (same building)`",1,0.0302000307097217,0.000817529675264087,1.4143092247705,0.218
"`Friend ties (different building)`",1,0.0198496647724147,0.000537340181918071,0.929587266518608,0.374
"`Betweeness (friendship)`",1,0.0121467772455714,0.000328819230434774,0.568850385443945,0.586
"`Transitivity (friendship)`",1,0.00279479595246634,7.56565001344084e-05,0.130884161506896,0.908
"`Familial ties (same building)`",1,0.0171751225945291,0.000464939010568831,0.804334755665907,0.455
"`Familial ties (different building)`",1,0.0145112288761462,0.000392826098252268,0.679580926905581,0.478
"`Betweeness (familial)`",1,0.00418275543819124,0.000113229245624337,0.19588422469016,0.853
"`Transitivity (familial)`",1,0.0256226664655044,0.000693618175302076,1.19994492368894,0.278
"`Degree (all ties)`",1,0.0128103265126374,0.000346781835242706,0.599925315748533,0.541
"`Clustering coefficient (all ties)`",1,0.0657876743734533,0.0017809046813186,3.08092781881249,0.049
"`Betweeness (all ties)`",1,0.0042363614011629,0.000114680385390441,0.198394666108656,0.859
"`Kin percentage (to third degree)`",1,0.120813388639864,0.00327047781280924,5.65785815489718,0.007
"Altruism",1,0.0463596536691711,0.00125497861157182,2.17108672741739,0.115
"`Risk taking`",1,0.0193138837676061,0.000522836326770241,0.904495900723618,0.404
"`Washing hands`",1,0.0301612544857424,0.000816479983821636,1.41249328054837,0.219
"`Distance to village center`",1,0.0306659651873504,0.000830142750590119,1.43612958105368,0.211
"`Distance to main road`",1,0.393645342531954,0.0106561729073266,18.4349560628648,0.001
"`Number of churches`",1,1.01510170826887,0.0274793021867333,47.5386175558689,0.001
"Altitude",1,0.328754617147448,0.00889954907600819,15.3960336062789,0.001
"Travel",1,0.064578056797993,0.00174815973899834,3.02427975405184,0.055
"`Monthly expenditure`",1,0.0624945393401077,0.00169175789732062,2.92670574861518,0.047
"hh_size",1,0.0341680138913034,0.000924944930336912,1.60013536751144,0.194
"household_wealth_index",1,0.0808216646734259,0.00218788218826211,3.78499038652097,0.023
"Electricity",1,0.0232237008406102,0.000628676996693999,1.08759804411763,0.303
"Radio",1,0.0715021149105439,0.00193559739542567,3.34854297601854,0.038
"Television",1,0.0156778098022592,0.000424406017321272,0.734213525829125,0.46
"Cell.mobile.phone",1,0.0183869628233406,0.000497744121207784,0.861086910358397,0.387
"Non.mobile.phone",1,0.0401558688211932,0.00108703910644599,1.88055489904537,0.127
"Refrigerator",1,0.0136104250919775,0.000368440897050767,0.637395039285016,0.527
"None",1,0.00827344385453266,0.000223966191714316,0.387456823357456,0.736
"Wood",1,0.0743403741024711,0.00201243046681538,3.48146258116782,0.041
"Gas",1,0.0140250504767909,0.000379665010014786,0.656812519757208,0.495
"fuel.Electricity",1,0.0861479035543553,0.00233206609272759,4.03442552302912,0.029
"Kerosene",1,0.171752788504344,0.0046494324049299,8.04342073346156,0.001
"Separate.kitchen",1,0.00526480636903237,0.000142520896173056,0.246558166974182,0.84
"Cement.floor",1,0.0233469421269046,0.000632013198889679,1.09336960407907,0.356
"Earth.Sand.floor",1,0.0401570770402362,0.00108707181352935,1.88061148161492,0.154
"Ceramic.floor",1,0.0188049262740702,0.000509058597256882,0.880660717076196,0.414
"Tiles.floor",1,0.0242690936829355,0.000656976294768371,1.13655523739405,0.329
"Mud.bricks.floor",1,0.00646206183625964,0.000174931190147206,0.302627297101303,0.669
"Wood.floor",1,0.00441027809909933,0.000119388395887304,0.206539425714941,0.811
"Wooden.windows",1,0.128863928264529,0.0034884098774589,6.03487606474582,0.002
"Glass.windows",1,0.0182621065718021,0.000494364201109154,0.855239719339998,0.388
"Metal.windows",1,0.00191230938068898,5.17671548756362e-05,0.0895560942874459,0.935
"Unfinished.windows",1,-0.000867127052494254,-2.34735555222509e-05,-0.0406087596790389,0.991
"Clay.mud.walls",1,0.00913880893292962,0.000247392049731705,0.427983067351542,0.69
"Cement.walls",1,0.00414626667668649,0.000112241476915407,0.194175405500781,0.879
"Cane.palm.trunks.walls",1,0.0175160996663291,0.000474169427499875,0.820303183735307,0.287
"Wood.unpolished.walls",1,0.0637463446475213,0.00172564488228101,2.98532952323677,0.068
"Wood.polished.walls",1,0.00493328849672459,0.000133546544421659,0.231032726305333,0.777
"Discarded.materials.walls",1,0.0123912994270388,0.000335438566074903,0.580301697538105,0.497
"Plastic.roof",1,0.0352126565297368,0.000953223920023189,1.64905742770157,0.168
"Metal.roof",1,0.0277207440958076,0.000750414168003782,1.29820080214629,0.28
"Clay.roof",1,0.0145754016462494,0.000394563286681231,0.682586226522935,0.506
"Thatch.palm.roof",1,0.00585586696189822,0.000158521196940679,0.274238352366159,0.816
"Concrete.roof",1,0.0485704593728791,0.00131482620862882,2.27462181752983,0.119
"Wood.roof",1,0.0573691950772428,0.00155301230891009,2.68667878504124,0.091
"Sleeping.rooms",1,0.0164385998625107,0.000445000978196638,0.769842377026984,0.439
"Spring.water.protected",1,0.00949406715220036,0.00025700906434427,0.444620301317281,0.679
"Spring.water.unprotected",1,0.0134318215918157,0.000363606012513999,0.629030790245564,0.518
"tube.well",1,0.00324517583493034,8.78485049239181e-05,0.151976074576203,0.916
"Dug.well.protected",1,0.0262120318011476,0.000709572584623429,1.22754571783952,0.282
"Dug.well.unprotected",1,0.014322105370713,0.000387706432002,0.670724011463141,0.487
"Surface.water",1,0.0157297392830156,0.000425811773889782,0.736645455265795,0.496
"bottle.water",1,0.00804371669619997,0.000217747364622507,0.376698382668001,0.699
"age",1,0.215282070806095,0.00582779147239845,10.0819572534654,0.001
"sex",1,0.0143797680330788,0.000389267388614658,0.673424433727366,0.534
"batch_effect",1,0.969884964487468,0.0262552627075878,45.4210548798969,0.001
"dna_conc",1,0.0953330743897656,0.0025807131819473,4.46457978242303,0.013
"sampling_date",1,0.800210410924038,0.0216620891440047,37.474960764293,0.001
"`Bristol stool scale`",1,0.071077231513085,0.0019240955930173,3.32864509862054,0.033
"Residual",1152,24.5988888202612,0.665904011237041,NA,NA
"Total",1311,36.940592645724,1,NA,NA
