"","Df","SumOfSqs","R2","F","Pr(>F)"
"Fish",1,0.230690669335914,0.00068523845683202,0.977456457217909,0.447
"`Diet diversity score`",1,0.188626157322567,0.000560290961632522,0.799225456347665,0.734
"`Living with partner`",1,0.465361624490953,0.00138229986653985,1.97177773210129,0.006
"`Number of partners`",1,0.234123147586082,0.000695434214233157,0.992000166504226,0.424
"`Grades 1-3`",1,0.195868472971924,0.000581803375696524,0.829911778499544,0.694
"`Grades 4-6`",1,0.281018384858115,0.000834730788791477,1.19069937101157,0.207
"`Grades >6`",1,0.86919134007578,0.00258182671314726,3.68283940724903,0.001
"`Friend ties (same building)`",1,0.234856728693408,0.00069761322731328,0.995108413544789,0.431
"`Friend ties (different building)`",1,0.281789425096157,0.000837021069644156,1.19396633565136,0.214
"`Betweeness (friendship)`",1,0.322885336857382,0.000959091456099022,1.36809329289633,0.103
"`Transitivity (friendship)`",1,0.249792297545383,0.000741977510365981,1.05839171953463,0.32
"`Familial ties (same building)`",1,0.294222968555914,0.000873953391865266,1.24664834214874,0.182
"`Familial ties (different building)`",1,0.262643589710876,0.000780150704093886,1.11284376368065,0.285
"`Betweeness (familial)`",1,0.232057352075969,0.000689298020985484,0.983247211014243,0.448
"`Transitivity (familial)`",1,0.392780701692288,0.00116670710036004,1.66424604100769,0.036
"`Degree (all ties)`",1,0.428667208775636,0.00127330358649307,1.8163002969366,0.011
"`Clustering coefficient (all ties)`",1,0.952236533294951,0.00282850231651099,4.03470912346538,0.001
"`Betweeness (all ties)`",1,0.242445890202816,0.000720155904641002,1.0272643518131,0.377
"`Kin percentage (to third degree)`",1,0.44468609316143,0.00132088572602342,1.88417370519102,0.019
"Altruism",1,0.266319580164847,0.000791069784753972,1.12841925538237,0.285
"`Risk taking`",1,0.338689732535691,0.00100603648312132,1.43505789381695,0.083
"`Washing hands`",1,0.312364573697486,0.000927840814132724,1.32351590311674,0.12
"`Distance to village center`",1,0.369500756968705,0.00109755686795817,1.565606887724,0.042
"`Distance to main road`",1,0.795141124476075,0.00236186959216056,3.36908219459421,0.001
"`Number of churches`",1,1.28551092741847,0.00381845319830539,5.44682175679895,0.001
"Altitude",1,0.504170642322329,0.00149757731389606,2.13621492059602,0.003
"Travel",1,0.215695624662942,0.000640697508117391,0.913921146994656,0.551
"`Monthly expenditure`",1,0.272018598924582,0.000807998023904777,1.15256649420458,0.247
"hh_size",1,0.741103031869031,0.00220135603825398,3.14011808994904,0.001
"household_wealth_index",1,1.38595860858818,0.00411682076659597,5.8724273300739,0.001
"Electricity",1,0.256907274530775,0.000763111680481747,1.08853849667715,0.281
"Radio",1,0.536889360259089,0.00159476426928115,2.2748469780227,0.006
"Television",1,0.219305743104591,0.000651420924010448,0.929217533243262,0.544
"Cell.mobile.phone",1,0.196919148473299,0.000584924278944436,0.834363582103981,0.665
"Non.mobile.phone",1,0.325814790477416,0.000967793040275493,1.3805056430155,0.123
"Refrigerator",1,0.422371559125438,0.00125460312815431,1.7896250810699,0.02
"None",1,0.296262567595164,0.000880011771695864,1.25529030091018,0.167
"Wood",1,0.545712342018902,0.00162097185896458,2.31223072014748,0.004
"Gas",1,0.28706988452192,0.000852706029415999,1.21634010212248,0.201
"fuel.Electricity",1,0.294242009564094,0.000874009950854407,1.24672902055871,0.166
"Kerosene",1,0.36404484448687,0.001081350746313,1.54248971137379,0.081
"Separate.kitchen",1,0.357593019677843,0.00106218638874008,1.51515276775758,0.068
"Cement.floor",1,0.191799560001613,0.000569717166692987,0.812671439875804,0.724
"Earth.Sand.floor",1,0.221052659568002,0.000656609925997602,0.936619370440651,0.495
"Ceramic.floor",1,0.458002945532144,0.00136044180947767,1.94059836847299,0.008
"Tiles.floor",1,0.346466835953422,0.0010291374189326,1.468010158319,0.076
"Mud.bricks.floor",1,0.431264502583247,0.00128101853051655,1.82730525700217,0.041
"Wood.floor",1,0.329010925591085,0.000977286769256477,1.39404794584894,0.104
"Wooden.windows",1,0.354597036524829,0.00105328718671178,1.50245852621301,0.064
"Glass.windows",1,0.265005561908062,0.000787166654015652,1.12285164558829,0.269
"Metal.windows",1,0.225562821841784,0.000670006812163154,0.955729320792346,0.488
"Unfinished.windows",1,0.220190680797927,0.000654049523342702,0.93296709132065,0.526
"Clay.mud.walls",1,0.357039561897608,0.00106054241000292,1.51280771894115,0.067
"Cement.walls",1,0.321141700460082,0.000953912197147623,1.36070535362471,0.135
"Cane.palm.trunks.walls",1,0.300744682716697,0.000893325347221325,1.27428141303513,0.183
"Wood.unpolished.walls",1,0.259451306116318,0.000770668415579998,1.09931778006912,0.304
"Wood.polished.walls",1,0.243808291621463,0.000724202751652137,1.03303696527775,0.397
"Discarded.materials.walls",1,0.308003750449913,0.000914887521304339,1.30503871522528,0.159
"Plastic.roof",1,0.389958065279011,0.00115832280364965,1.65228628469644,0.039
"Metal.roof",1,0.400585017628018,0.00118988886763231,1.69731360731849,0.024
"Clay.roof",1,0.203026420151765,0.000603065183526548,0.860240624098292,0.621
"Thatch.palm.roof",1,0.241989467486434,0.000718800156709204,1.02533044901316,0.371
"Concrete.roof",1,0.253715520756742,0.000753630965735018,1.07501475796132,0.35
"Wood.roof",1,0.412731711985458,0.00122596913963058,1.74878020918717,0.027
"Sleeping.rooms",1,0.47853893914926,0.00142144147026245,2.02761116194322,0.01
"Spring.water.protected",1,0.23857473367179,0.000708657106986497,1.01086192444555,0.397
"Spring.water.unprotected",1,0.231973779816634,0.000689049779796598,0.98289310807299,0.437
"tube.well",1,0.205239518299372,0.000609638921267434,0.869617713692173,0.643
"Dug.well.protected",1,0.314982185045459,0.000935616108928278,1.33460695037031,0.13
"Dug.well.unprotected",1,0.187111318376701,0.000555791317565416,0.792806951804138,0.77
"Surface.water",1,0.266845276324233,0.000792631300987191,1.13064667579346,0.272
"bottle.water",1,0.159675232532351,0.000474295775593071,0.676557866626379,0.881
"age",1,0.548803328356385,0.00163015325634872,2.32532749845864,0.002
"sex",1,0.917581014067892,0.0027255623294529,3.88787067029239,0.001
"batch_effect",1,0.980627104483716,0.00291283304061862,4.15500244617517,0.001
"dna_conc",1,1.43486945088174,0.00426210444968588,6.07966682859995,0.001
"sampling_date",1,1.00285955853212,0.00297887182990979,4.24920329024037,0.001
"`Bristol stool scale`",1,0.684020510151726,0.00203179937952024,2.89825447401918,0.001
"Residual",1152,271.884899948772,0.807600887427053,NA,NA
"Total",1311,336.657505187958,1,NA,NA
