"","x"
"1",36
"2",38
"3",44
"4",32
"5",51
"6",26
"7",28
"8",17
"9",47
"10",27
"11",40
"12",52
"13",55
"14",48
"15",56
"16",39
"17",45
"18",50
"19",37
"20",53
"21",20
"22",24
"23",31
"24",54
"25",42
"26",49
"27",35
"28",41
"29",25
"30",46
"31",12
"32",16
"33",30
"34",21
"35",43
"36",14
"37",6
"38",34
"39",1
"40",9
"41",11
"42",5
"43",13
"44",3
"45",4
"46",23
"47",33
"48",15
"49",18
"50",29
"51",19
"52",22
"53",10
"54",8
"55",2
"56",7
