"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123"
"1",0.00025653543491028,0.44879485117626,7.99634926712404e-09,0.541713158764831,0.725973084710092,NA,NA,NA,NA,NA,0.525733101401157,NA,NA,NA,0.515870261638621,NA,NA,NA,NA,NA,0.0296744986436152,NA,NA,NA,0.546259383286449,0.161765065535652,0.763392309165006,0.413345175205685,NA,0.937346054207589,0.631682758418898,0.765875651040435,0.0064113971233358,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.108503546991915,0.576658206546904,0.605039179004273,0.553721292426752,NA,NA,0.577012124917279,0.701587603934718,0.761483807706514,NA,NA,0.900026650351492,0.64716194653545,0.882270789236258,0.0353030665016031,0.702904573509874,0.373374537123805,0.114446397012973,0.328083051980463,0.512854707856137,0.0222037698655278,0.0642115086755774,0.756672488938421,NA,NA,NA,0.764810628665083,0.398515233928359,NA,0.156972224713885,0.237561915500782,NA,0.720903868174414,0.490513493567637,0.724954577807001,NA,0.0362858935530526,0.122546555292161,0.422041627087995,NA,0.15602659248632,0.618709712989805,NA,0.863810416284295,0.0472545286876148,NA,0.184428500322633,0.763056718744649,NA,0.153076635852331,0.571259997530436,NA,NA,0.814964453136533,NA,NA,0.0588903280728375,0.36565397021776,0.904873577475576,0.519989379699029,0.679743498524418,0.815839450593085,0.0590502295349721,0.277711788213403,0.547079330234825,0.234532673681726,0.604014581887786,0.456321813341049,0.143335234600914,0.98343663275439,0.793387114235089,0.986403500194749,0.347076937323009,NA,0.157541545270538,0.684399106117652,0.556683530999171,0.606323706769501,0.314800221721531,0.751296495634636,0.809360472389482
"2",0.0935747422143527,0.343955829094558,0.0935003545464683,0.756112339521314,0.663713930597859,0.353517718833514,0.123587356961005,0.54225431430969,0.477610070952525,0.735507763375047,0.9148673756952,0.00346311829159229,0.401120041175271,0.22944405716096,0.822659275918076,0.996227273768049,0.282562628169284,0.565362454986078,0.0543594636198251,0.174424207834978,0.510116841298192,0.0300969206652702,0.994108478692027,0.315318365778683,NA,0.564126458490787,0.570481062260584,0.412660386615225,0.870661023195596,0.939856563300024,0.409197336026584,0.559530518483243,0.284343763469759,0.567964393625855,0.543681438216093,0.267488257341991,0.616699101800632,0.393925514200582,0.548641099327849,0.658241175652842,0.626095206432669,0.317260436729891,0.536105792759737,0.321660820650206,0.772998229454647,0.821716021648351,0.903738136693257,0.614859820987768,0.474223785976194,0.100996019814666,0.309399128646455,0.382825553834721,0.124027132819183,0.195139847084146,0.203976411236229,0.558149602534306,0.432854265486353,0.458019136374702,0.322217316431877,0.0994941757585667,0.592867147485345,0.160730841288072,0.54504797947783,0.977963540884696,0.565255335545331,0.368186939854601,0.189996224180677,0.251632016399698,0.257689873307861,0.206988404847575,0.117352023921319,0.262351145697684,0.291111167399018,NA,0.790872751418925,0.691292815507008,0.36033580138709,0.337888261401964,0.335302094851467,0.0194750569397287,0.24995487582427,0.577479209423033,0.136508607623753,0.231505656869847,0.111446786959321,0.278054093850118,0.514232989378749,0.895924119845594,0.881791215404693,0.636837511415836,0.0445957137028756,0.207662730421848,0.564747188583905,0.661475544145007,0.462701805740157,0.926883347209046,0.103582415057426,0.786920694433881,0.465650910212187,0.0184567532423363,0.448754532210898,0.577058411177508,0.268747121809735,0.848709483096165,0.515707736484461,0.221333920681108,0.329880758809792,0.766008475637562,0.289736000767028,0.463923833292646,0.492113161158755,0.781382582603178,0.757849804432853,0.918767374322563,0.641631252272317,0.877511721738785,0.0741782440182563,0.234306934930933,0.756337964429425,0.514776182086488,0.184526077810221,0.893819823827369,0.105726842667199
"3",0.454560498849444,0.850587550777874,0.252708939966414,0.893880983241544,0.179316689781148,0.876839072780796,0.160649427481217,0.577698719430165,0.400289968059522,0.431595816215835,0.203849033576343,0.750493346057078,NA,0.879337224834898,0.805638424525481,0.0889121113726277,0.719437445087357,0.203412164964984,0.718857966404792,0.141045264245757,0.979179462369047,0.467042630964152,0.662700195376562,0.842541261694913,0.475182022887618,0.798298869158853,0.987367092623679,0.170074248856547,0.769693728298075,0.863939864644868,0.245584480000234,0.188015496866921,0.199210214543801,0.166660493485814,0.884910972760722,0.603227076785783,0.206346243603101,0.426847301437333,0.518221236613027,0.353928830693371,0.905056234530565,0.135137577709132,0.956329246717299,0.80382779870253,0.749190680548478,0.140709484122168,0.111953078408777,0.4758025449683,0.520575728808911,0.150363431850583,0.780378597568899,0.684649340865464,0.35258176399977,0.0936115255823225,0.150402127579613,0.807001848782437,0.821797304126776,0.657067970217212,0.358818808344284,0.269308866511109,0.395246285074965,0.105428412664345,0.298943986794737,0.0731271799502093,0.437463884941362,0.644238767006727,5.08504421642008e-07,0.542745044970906,0.863022059980749,0.417830794100261,0.40085632744238,0.784743043538929,0.396907967625669,0.0384683649181899,0.75034896750547,0.345985266879512,0.924051232152222,0.603482253101836,0.327104482941531,0.236240842327315,0.225633643952479,0.967848366680328,0.902846895843649,0.488567956371629,0.572257819509312,0.190254334844144,0.807325812995102,NA,0.628768902339812,0.624452469214401,0.645850143314567,0.419253013748539,0.478968175568858,0.897983892857158,0.339172768382408,0.876642128397998,0.940751202760595,0.843430251405784,0.903473196175074,0.418887026359274,0.474426898866707,0.804768925636908,0.295238125357346,0.248834369791633,0.56365506343175,0.412890927379112,0.576485135316748,0.638343357067057,0.655712639645367,0.633743892821565,0.720157874569346,0.47236500135526,0.983381596132614,0.308666151734516,0.455229291938929,0.911050720649696,0.611000562879093,0.458541052529539,0.550048848242155,0.709761642309954,0.0712468674784949,0.111863503911513,0.650811622750872
"4",8.93806197446357e-05,NA,3.37361823041723e-05,0.686194018633297,0.771764032724621,NA,0.580942931779956,NA,NA,0.747165809786301,0.307658616882122,NA,NA,0.0596953426895662,NA,0.529247998878973,NA,0.131801291568825,0.282948700765827,NA,NA,NA,NA,NA,0.168431401514388,NA,0.200307970645411,NA,NA,NA,NA,0.567818393017427,NA,NA,NA,NA,0.251877632484769,NA,NA,NA,NA,0.283610200345929,0.602133636643499,NA,0.0751033047103774,0.0475155219667351,NA,NA,0.295963968284194,0.0655873955633603,0.221485163481168,NA,0.895674550747952,0.118599629355955,0.337274311914877,NA,0.0466291366617125,0.151467746940619,0.310593683348118,0.165962443472261,0.188990221895991,NA,0.195766992172362,0.584531900203844,0.0672788486211117,0.448775208171113,0.716199886041635,NA,0.801985659342035,0.66682248788776,NA,0.712579930344904,NA,NA,NA,0.378712056280311,0.147960457505341,NA,0.470986359067114,NA,NA,NA,0.367391977241433,NA,NA,NA,0.546998711287259,NA,0.60577155848584,NA,0.164818008209776,0.510780656379381,NA,0.385035144942488,0.106788490286063,0.140592964190374,NA,0.0422660989593829,0.565480158458581,0.660047099479944,NA,0.579947043102002,0.794977872207379,0.49731757382026,0.152419272532083,0.0627811160131584,0.812745926571461,0.422402251497815,0.156967622708922,0.42656234252018,0.926816981620863,NA,0.2705481998991,0.728399543385683,0.767078825814109,0.499530078418536,0.406930536950012,0.704806548906984,0.453933203503721,0.0490517622072469,0.289094547116273,0.524500275830949,NA
"5",2.30671936512952e-06,0.351556630408075,0.0417401098172612,0.33582500082855,0.904107190300967,0.414134078773654,0.0797727969505262,0.0500634852040332,NA,NA,0.723540432745159,0.00275466308154257,NA,NA,0.686019172047874,0.060450447960036,0.664941964825615,0.350348110262779,0.847102433190239,0.511345125251499,0.0401446187360321,0.534887856572987,NA,NA,NA,0.745587431539385,0.11936917427403,0.570097917228242,0.0752451531635173,0.812762421795026,NA,0.356314291293136,0.843931799433172,NA,0.602140412593831,0.269582219067267,0.755019058780307,NA,0.473877044708768,0.154637214228294,0.207383239264166,0.0167996131197943,0.412718252532938,0.115939389710123,0.520860200827721,0.30284459427698,0.205605122777095,0.0921779112635068,0.870296027163016,0.809627170129218,0.640558732633355,NA,0.550943643464577,0.656146035271368,0.574003893151257,0.60334744369628,0.644657222100937,0.387081326658356,0.204321759309305,0.548804839786773,0.967604935390484,0.665540952694094,0.362372659044077,0.877967962060619,0.937596712967034,0.237001022247571,3.89558870967413e-07,0.350831735919307,0.673636266692498,0.438274093146584,NA,0.667495306300561,0.532521944186707,NA,0.907971017447202,0.413531878350675,0.334763911971339,0.871034134602948,0.779123654883744,0.135303691783749,NA,0.274231104482491,0.928122241787355,NA,0.359704021312554,0.371580242519814,0.856838814828027,0.794511124060268,0.39993226771874,0.709870637510237,0.0950572503554736,0.200544561420849,0.79268615808084,0.201899268387653,0.13784314970772,0.479951642611891,0.828381913274141,0.915836595641008,0.263727819469316,0.285689834662472,0.0295088235526363,0.32546784751355,0.20160377858432,0.558423495798123,0.273405968845616,0.386905458929809,0.637293358849787,NA,0.94685121570293,0.587695658415739,0.993846239790087,0.359389139957816,0.436162575251799,0.433307598896872,0.3363915520555,0.970970025338433,0.360263277608672,0.680134798998308,0.24117050581475,0.672127066686122,0.723385304257438,0.0239951268593287,0.289894984802478
"6",0.000172701868245508,NA,0.000337560554167082,0.0832210680743731,0.835667237720054,NA,0.182983999573842,0.825324144152794,NA,0.733015020191543,0.31090365007444,0.65870394912546,NA,NA,NA,0.452215354430205,NA,0.233681445599896,NA,NA,NA,NA,NA,NA,NA,0.743133592962895,0.716200630851349,0.817137319943854,NA,0.310812772237973,NA,0.509427587887089,NA,NA,NA,0.605338659957679,0.758612093587386,NA,NA,0.331631041130918,NA,0.725313748291377,0.281350534110905,NA,NA,0.247304304803539,NA,0.208531947520557,0.762300359706632,0.0958861268984626,0.410629577679038,NA,0.365269602156756,0.112825445374391,0.767237506000149,NA,NA,0.97360740449778,0.703378369571333,0.357302430073299,0.670083077231549,0.912404050030557,0.485129266777682,0.474713041977021,0.919417196606965,NA,NA,0.0671409364653371,0.533951292278489,NA,NA,NA,0.687998436984426,NA,0.701712845001672,0.122037593262621,0.894488029043615,NA,0.182015994522292,NA,NA,0.861743909978712,0.224644681663975,NA,0.660243813198826,0.784038389627063,0.165461818083806,NA,0.0962237972973566,NA,0.0477632331483063,0.405285576216683,NA,0.441333568431265,0.486729322376632,NA,0.55522446586619,NA,0.857766778801262,0.267938491354624,NA,0.848053283443067,0.424777878427717,0.868334657218701,0.440958653731149,0.840291090930872,0.417003735873356,0.438829298164559,0.602596818269003,0.383135286233574,0.187670384470904,0.170957346983774,0.483939627556415,0.601585074912586,0.341307286746026,0.331561211935118,0.300431468105455,0.311891680263151,0.0687427102464468,0.885811020481192,0.792343046850821,0.202214910592179,0.182679672575099
"7",0.698423017588938,0.408086834257484,0.437663088870872,NA,0.455332858464169,NA,NA,NA,NA,0.408564697234978,0.384791412831635,NA,NA,NA,NA,0.470635932846047,0.721042558557324,0.360135063528266,NA,NA,NA,NA,0.0577256592753742,NA,NA,NA,NA,NA,NA,0.793337127389295,NA,0.220389731306673,0.925812549552049,NA,0.808386688920653,NA,NA,NA,NA,NA,NA,0.0741442226215922,0.655517413189435,NA,NA,NA,NA,NA,0.431641069888808,0.404174794616061,0.90498261722832,NA,0.11922685612801,0.000703119359303103,NA,0.0453777352397858,NA,0.535757930138426,0.198098364897251,0.343557123623054,0.0737787484404342,NA,0.0909364450872739,0.661365847650023,0.378276120722049,NA,NA,0.252602681119383,NA,NA,0.717018447218729,0.947000369818049,0.708807512292376,NA,0.644665078297497,0.158318122464549,NA,NA,0.0671572345781151,NA,NA,0.0762705851254417,0.714814007088222,NA,NA,0.531253573617213,0.181937754437602,0.938362043647245,NA,NA,NA,0.956683979908154,NA,NA,0.250545273042337,0.890390988671118,NA,0.641570540625011,0.848494937493872,0.326966444251977,NA,0.285577506777679,0.571192180706847,0.550908325457012,0.0793393318302277,0.109508566543085,0.869529264456147,NA,0.974272440548167,0.019829887994043,0.131782852556245,0.0929286555304033,0.0389597452648817,0.584783799911011,0.317597904911887,0.88317208906052,0.189635228843826,0.232121007163953,0.750212048471141,0.0829562694976927,NA,NA,0.874910193918858
"8",0.237419630837482,0.0087363329135964,4.7312224534198e-06,0.979180774915129,0.435083625323539,0.811993369416982,0.450667332679295,0.600468469333511,0.849103103093909,0.459663739728645,0.236624013631621,0.0180310927873575,NA,0.845139794318397,0.36121154650857,0.876745489146304,0.619796851429075,0.0256837377796708,0.0297712136308894,0.552414066761457,0.55519965134349,0.125469654426876,0.533038828197653,0.680215912600259,NA,0.407412922469004,0.19048809764182,0.119219071792534,0.221179911012662,0.123102611521585,0.653081668099826,0.110060171614171,0.378759300961261,0.222197846431471,0.211398693558886,0.395831891931866,0.250826172839097,0.676023678381283,0.528465589291994,0.667890987666997,0.875777188800193,0.0476401577022618,0.727924909871719,0.76471443693704,0.519204665609386,0.0675574966069823,0.446088674143944,0.289570643396605,0.853208043901936,0.471028930157448,0.808679937927402,0.601846666668724,0.966310289312309,0.173094493475141,0.716968139993884,0.618567258201238,0.0186503508342633,0.829400783789069,0.126775946196066,0.110235052237077,0.52711989614659,0.642351097381966,0.612908389886961,0.312933416556339,0.176750360518725,0.296568972017509,NA,0.300465626312189,0.128179301443785,0.591029791962471,0.90185293713674,0.342147720568292,0.332603070057383,0.609961840515037,0.586592483448014,0.622710364418638,0.0193325251373631,0.6292105134114,0.72243151374138,0.018132341214686,0.583382345588608,0.373110380928742,0.0326612266758255,0.588726166039156,0.199148869463248,0.150354951433207,0.00492993541723388,0.395797414213252,0.124299674447656,0.00910682165818983,0.0482291167866954,0.0365736883701934,0.300091859451972,0.123736312642019,0.240944925819804,0.0133875465142905,0.499574096387308,0.0686328091634973,0.157822554501054,0.306285130663123,0.426836486464906,0.297975656202368,0.479186456858071,0.203315181131395,0.0123615246806784,0.356802170809289,0.939528058221281,0.821301438781503,0.10535151158978,0.151147890194641,0.279731939678525,0.246767287200462,0.177224259426761,0.631175851669923,0.677950774083901,0.575327098271288,0.277569738500122,0.294246153505586,0.981003094805161,0.317135863972269,0.509269422783513,0.511093016087146,0.0882787370358105
"9",0.414500401333734,0.694936325856085,0.0697120165767203,0.764687168466244,0.423493947951686,0.214364222548027,0.0252449485421582,0.363964541226537,0.376751333665554,0.198120808897548,0.428057037798933,NA,0.984374533429674,0.659203909612212,0.0090810807088146,0.655023231429486,0.242541269362347,0.441847870579,0.553980109010486,0.574979231772064,0.700052436440087,0.796153017164051,0.598003604672977,0.602299620820834,0.291107405224745,0.473489816118051,0.646930469323018,0.00810689790319394,0.108020518665658,0.844988623575593,0.0899761492424798,0.662546665702733,0.0908267022589714,0.727097779530092,0.752747460241814,0.25845811804986,0.952840879140668,0.40350624167855,0.714270919594439,0.476554183322934,0.366091338392257,0.0396527158183901,0.291967053210701,0.110353902595131,0.445729740873404,0.770142117220224,0.432569555646933,0.674369037957488,0.808292598288682,0.943872935424265,0.437760317263329,0.761698170967143,0.80900778830738,0.0474584338676594,0.11615310229765,0.794779337642798,0.337849175763405,0.524801883866556,0.655578124335007,0.176541086354839,0.625710662912587,0.97861978393294,0.826686165638959,0.913102173154137,0.464486114535932,0.644591884011,0.339304408611834,0.552097042673573,NA,0.135394781649157,0.8511909140462,0.2055667778757,0.851638857016769,0.17804193996203,0.256427100730237,0.639995389681059,0.224018001012608,0.441624338070976,0.0606251292543734,0.0187648333814752,0.687032556380104,0.0144648788173624,0.676524608299207,0.190979080972311,0.372588664387341,0.0911657253343673,0.559164907947663,0.108705082586216,0.825486195760748,0.854715025545572,0.384003225485508,0.14550470663342,0.731836140559636,0.301744542916156,0.827194088270103,0.872316909791771,0.128482745220441,0.0651188189950057,0.128653386660136,0.100154199261269,0.607214645689201,0.745727055930067,0.347365035943138,0.186268636593786,0.259526581361856,0.0184181996079474,0.762515032676733,0.985891923546192,0.903211173248777,0.422043570726825,0.606431082389453,0.225677021751481,0.346318892899109,0.414519850920907,0.882667562783642,0.36584500100451,0.0556912829006318,0.588295330992675,0.617414197496986,0.663230608641517,0.582109746048531,0.995464263624438,0.348258897298827
"10",0.66230041002813,0.841709655339058,0.355096629368365,0.360567719905633,0.122314508439625,0.512719997996363,0.384985235205625,0.214641960242941,0.284300943745124,0.751873314910214,0.526221156476411,0.0288223575403692,0.727519300076252,0.571054582996013,0.387519357065716,0.0913641429000045,0.155982119382729,0.828256723715574,0.971066214335514,0.0909404333352487,0.959213536857773,0.596794948369859,0.863574741941612,0.997510932128328,0.199960473325548,0.749776139908561,0.147829114381879,0.739935030510119,0.858032803184578,0.184507265046856,0.100057221044897,0.610046733286228,0.938964577580936,0.0891134243409303,0.316493451301346,0.438940637678527,0.307884686829644,0.045730485362324,0.774368766450709,0.977747657448794,0.494362589070506,0.227205527741726,0.978233942996576,0.945954364391504,0.406908196026119,0.264181849908698,0.98779407150361,0.225181719548161,0.31489138655405,0.0839744154021906,0.357759724269174,0.588800741798859,0.514320087641707,0.654816873067873,0.538073002223151,0.302782977141196,0.131172774141968,0.668681705091031,0.714544414591733,0.90244064600169,0.386573165152577,0.559363906298958,0.378062828371997,0.701687014244089,0.663151818544363,0.312735887165889,2.55799610607519e-09,0.0920082133794548,0.0192082860213913,0.86061645252036,0.586091132813265,0.943618843348878,0.497076096508652,0.222422307900447,0.0767261878497034,0.0016578458843872,0.213384930897598,0.843181570004983,0.810992975449249,0.482718571994858,0.439492940348524,0.223314755171998,0.586976111208655,0.399627862977783,0.976903551703349,0.0302127157903079,0.398867277581474,NA,0.204601340336284,0.719946313505851,0.135400509924935,0.743216243759361,0.901780479370533,0.326173459578348,0.24998496934626,0.926771075568461,0.653029822554241,0.262796601351175,0.0914543296138614,0.208052247407335,0.442498106477849,0.51437237919867,0.14939425789409,0.145256441676533,0.649258018446379,0.729873822021014,0.544874040836857,0.286363315284015,0.289379036245183,0.346379956018762,0.699722389712677,0.137218108666757,0.452375514333559,0.831179061874249,0.772983454991279,0.468663857404885,0.00250362403227139,0.0437572697689812,NA,0.0388755942230678,0.942403858543548,0.487872906810088,0.521006279406688
