"","alpha_div","wealth"
"152","4.08384093868518","Wealth index = 1"
"153","3.41220049776574","Wealth index = 1"
"154","4.52595295244602","Wealth index = 1"
"155","3.59871639455093","Wealth index = 1"
"156","3.93375994557319","Wealth index = 1"
"157","4.12748993760591","Wealth index = 1"
"158","2.8355414037194","Wealth index = 1"
"159","4.59416415177918","Wealth index = 1"
"160","3.29470320314097","Wealth index = 1"
"161","4.05660714431953","Wealth index = 1"
"162","3.10515155278452","Wealth index = 1"
"163","3.61716429203512","Wealth index = 1"
"164","2.81469547022465","Wealth index = 1"
"165","2.78592179004538","Wealth index = 1"
"166","2.58803701701797","Wealth index = 1"
"167","3.3920345792988","Wealth index = 1"
"168","3.81826669837255","Wealth index = 1"
"169","3.56862479142665","Wealth index = 1"
"170","3.30425663756634","Wealth index = 1"
"171","3.60729820728234","Wealth index = 1"
"172","4.55602325467716","Wealth index = 1"
"173","3.80228190956545","Wealth index = 1"
"174","4.21479405912645","Wealth index = 1"
"175","3.69330831617327","Wealth index = 1"
"176","3.03965094302205","Wealth index = 1"
"177","3.63293906073816","Wealth index = 1"
"178","2.53003641182295","Wealth index = 1"
"179","4.64717747131142","Wealth index = 1"
"180","3.33185133216153","Wealth index = 1"
"181","4.51232867841914","Wealth index = 1"
"182","5.1734529140869","Wealth index = 1"
"183","4.09834025067701","Wealth index = 1"
"184","4.05702672133513","Wealth index = 1"
"185","3.83441533045802","Wealth index = 1"
"186","4.41275051154867","Wealth index = 1"
"187","4.66756080298279","Wealth index = 1"
"188","4.22920153684119","Wealth index = 1"
"189","4.09824800295877","Wealth index = 1"
"190","3.8310100694728","Wealth index = 1"
"191","4.66459722751482","Wealth index = 1"
"192","4.60735844730693","Wealth index = 1"
"193","3.80382693409594","Wealth index = 1"
"194","3.24484794633699","Wealth index = 1"
"195","2.78577494518322","Wealth index = 1"
"196","3.36461880780518","Wealth index = 1"
"197","4.16470346034562","Wealth index = 1"
"198","4.15764065266532","Wealth index = 1"
"199","4.69168194707116","Wealth index = 1"
"200","4.09750396876407","Wealth index = 1"
"201","3.25133482539903","Wealth index = 1"
"202","4.36316555610723","Wealth index = 1"
"203","4.68519456061749","Wealth index = 1"
"204","3.86105378573079","Wealth index = 1"
"205","4.46487010456572","Wealth index = 1"
"206","4.01802664802266","Wealth index = 1"
"207","4.41756154641148","Wealth index = 1"
"208","3.49551755362154","Wealth index = 1"
"209","3.56257936378604","Wealth index = 1"
"210","3.20987017089688","Wealth index = 1"
"211","3.21828082584553","Wealth index = 1"
"212","4.52825320302898","Wealth index = 1"
"213","4.05227796988853","Wealth index = 1"
"214","4.2721479741719","Wealth index = 1"
"215","3.16594613461716","Wealth index = 1"
"216","4.75885822785794","Wealth index = 1"
"217","4.43810527802361","Wealth index = 1"
"218","3.85080811623634","Wealth index = 1"
"219","3.61523394313655","Wealth index = 1"
"220","3.70787291314985","Wealth index = 1"
"221","3.04901729811254","Wealth index = 1"
"222","3.77635952603822","Wealth index = 1"
"223","4.33462380000872","Wealth index = 1"
"224","3.31212198031361","Wealth index = 1"
"225","4.35768881607843","Wealth index = 1"
"226","3.70965601646557","Wealth index = 1"
"227","3.0833207089601","Wealth index = 1"
"228","3.22230999602946","Wealth index = 1"
"229","4.63155594840005","Wealth index = 1"
"230","3.88675589442817","Wealth index = 1"
"231","4.75972184364881","Wealth index = 1"
"232","4.13536004386914","Wealth index = 1"
"233","3.2554756786559","Wealth index = 2"
"234","4.46860746489061","Wealth index = 2"
"235","3.57853949908786","Wealth index = 2"
